id,pitch_tag,rhythm_tag,mode,beat,key_signature
166,"['E', 'F', 'G', 'C', 'E', 'F', 'G', 'C', 'E', 'F', 'G', 'HC', 'B', 'A', 'G', 'E', 'G', 'HC', 'G', 'E', 'G', 'HC', 'G', 'E', 'G', 'HC', 'G', 'E', 'G', 'HC', 'HD', 'HC', 'HD', 'HC', 'B', 'HC', 'HD', 'HC', 'B', 'A', 'HD', 'G', 'HD', 'G', 'HD', 'G', 'B', 'HC', 'HD', 'HC', 'B', 'A', 'G', 'HC']","[0.125, 0.125, 0.25, 0.25, 0.125, 0.125, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.75, 0.125, 0.125, 0.25, 0.25, 0.125, 0.125, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.75, 0.25, 0.5, 0.25, 0.5, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.5, 0.25, 0.5, 0.25, 0.5, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.5]",Ckey,3/4,Treble
167,"['C', 'F', 'F', 'G', 'F', 'E', 'D', 'D', 'D', 'G', 'G', 'A', 'G', 'F', 'E', 'C', 'C', 'A', 'A', 'bB', 'A', 'G', 'F', 'D', 'C', 'C', 'D', 'G', 'E', 'F', 'C', 'F', 'F', 'F', 'E', 'E', 'F', 'E', 'D', 'C', 'G', 'A', 'G', 'F', 'HC', 'C', 'C', 'C', 'D', 'G', 'E', 'F']","[0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.25, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.25, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.25, 0.125, 0.125, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.125, 0.125, 0.25, 0.25, 0.25, 0.5]",Fkey,3/4,Treble
170,"['D', 'G', 'G', 'G', 'D', 'E', 'E', 'D', 'D', 'G', 'G', 'A', 'A', 'B', 'G', 'B', 'B', 'HC', 'HC', 'HC', 'A', 'A', 'B', 'B', 'B', 'G', 'G', 'A', 'A', 'A', 'G', '#F', 'D', 'E', '#F', 'G', 'G']","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25]",Gkey,4/4,Treble
171,"['G', 'E', 'G', 'G', 'E', 'G', 'A', 'G', 'F', 'E', 'D', 'E', 'F', 'G', 'C', 'C', 'C', 'C', 'D', 'E', 'F', 'G', 'G', 'D', 'D', 'F', 'E', 'D', 'C']","[0.125, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25]",Ckey,2/4,Treble
173,"['B', 'HD', 'B', 'A', 'B', 'HD', 'B', 'A', 'B', 'B', 'HD', 'B', 'A', 'G', 'A', 'B', 'HD', 'A', 'B', 'G', 'G', 'E', 'D', 'E', 'G', 'A', 'B', 'G', 'A', 'B', 'A', 'A', 'B', 'HD', 'HE', 'HD', 'B', 'B', 'HD', 'B', 'A', 'G', 'A', 'B', 'HD', 'A', 'B', 'G', 'G', 'E', 'D', 'E', 'G', 'A', 'B', 'G']","[0.25, 0.25, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.5, 0.25, 0.25, 0.125, 0.125, 0.25, 0.25, 0.125, 0.125, 0.375, 0.125, 0.25, 0.125, 0.125, 0.375, 0.125, 0.25, 0.125, 0.125, 0.5, 0.375, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.5, 0.25, 0.25, 0.125, 0.125, 0.25, 0.25, 0.125, 0.125, 0.375, 0.125, 0.25, 0.125, 0.125, 0.375, 0.125, 0.25, 0.125, 0.125, 0.5]",Gkey,4/4,Treble
174,"['B', 'HD', 'B', 'A', 'B', 'HD', 'B', 'A', 'B', 'B', 'HD', 'B', 'A', 'G', 'A', 'B', 'HD', 'A', 'B', 'G', 'G', 'E', 'D', 'E', 'G', 'A', 'B', 'G', 'A', 'B', 'A', 'B', 'HD', 'HE', 'HD', 'B', 'B', 'HD', 'B', 'A', 'G', 'A', 'B', 'HD', 'A', 'B', 'G', 'G', 'E', 'D', 'E', 'G', 'A', 'B', 'G']","[0.5, 0.25, 0.5, 0.125, 0.125, 0.5, 0.125, 0.125, 0.75, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.125, 0.125, 0.5, 0.25, 0.5, 0.125, 0.125, 0.5, 0.25, 0.5, 0.125, 0.125, 0.75, 0.5, 0.25, 0.5, 0.25, 0.5, 0.125, 0.125, 0.75, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.125, 0.125, 0.5, 0.25, 0.5, 0.125, 0.125, 0.5, 0.25, 0.5, 0.125, 0.125, 0.75]",Gkey,3/4,Treble
175,"['G', 'E', 'G', 'HC', 'A', 'HC', 'A', 'G', 'G', 'C', 'D', 'E', 'D', 'C', 'D', 'G', 'E', 'G', 'HC', 'B', 'A', 'HC', 'A', 'G', 'G', 'D', 'E', 'F', 'D', 'C', 'A', 'HC', 'HC', 'B', 'A', 'B', 'HC', 'A', 'B', 'HC', 'A', 'A', 'G', 'E', 'C', 'D', 'G', 'E', 'G', 'HC', 'B', 'A', 'HC', 'A', 'G', 'G', 'D', 'E', 'F', 'LB', 'C']","[0.25, 0.125, 0.125, 0.5, 0.25, 0.125, 0.125, 0.5, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 1, 0.25, 0.125, 0.125, 0.375, 0.125, 0.25, 0.1875, 0.0625, 0.5, 0.25, 0.125, 0.125, 0.375, 0.125, 1, 0.25, 0.25, 0.5, 0.25, 0.125, 0.125, 0.5, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 1, 0.25, 0.125, 0.125, 0.375, 0.125, 0.25, 0.1875, 0.0625, 0.5, 0.25, 0.125, 0.125, 0.375, 0.125, 1]",Ckey,4/4,Treble
176,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'F', 'G', 'G', 'G', 'A', 'G', 'C', 'C', 'D', 'E', 'E', 'E', 'E', 'E', 'HC', 'HC', 'HC', 'B', 'G', 'G', 'A', 'G', 'F', 'A', 'A', 'A', 'A', 'A', 'B', 'HC', 'HD', 'HC', 'HC', 'HC', 'G', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'HC', 'B', 'A', 'A', 'G', 'B', 'B', 'A', 'A', 'G', 'B', 'A', 'A', 'A', 'A', 'A', '#F', '#F', 'A', 'B']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.25, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.25, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.25, 0.0625, 0.0625, 0.0625, 0.0625, 0.25, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.5]",Ckey,2/4,Treble
177,"['E', 'G', 'G', 'E', 'D', 'C', 'D', 'E', 'G', 'E', 'D', 'E', 'G', 'G', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'C', 'A', 'HC', 'HC', 'B', 'G', 'A', 'A', 'HC', 'B', 'G', 'A', 'E', 'G', 'G', 'E', 'D', 'C', 'D', 'E', 'G', 'E', 'D', 'E', 'G', 'G', 'HC', 'HD', 'HE', 'HD', 'HC', 'HD', 'A', 'HC']","[0.375, 0.125, 0.5, 0.375, 0.125, 0.5, 0.375, 0.125, 0.375, 0.125, 1, 0.375, 0.125, 0.5, 0.375, 0.125, 0.5, 0.25, 0.25, 0.375, 0.125, 1, 0.375, 0.125, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1, 0.375, 0.125, 0.5, 0.375, 0.125, 0.5, 0.375, 0.125, 0.375, 0.125, 1, 0.375, 0.125, 0.5, 0.375, 0.125, 0.5, 0.375, 0.125, 0.25, 0.25, 1]",Ckey,4/4,Treble
178,"['G', 'A', 'A', 'G', 'E', 'F', 'E', 'D', 'D', 'E', 'F', 'D', 'B', 'A', 'G', 'G', 'A', 'A', 'G', 'E', 'F', 'E', 'D', 'D', 'E', 'F', 'LG', 'E', 'D', 'C', 'C', 'C', 'A', 'F', 'C', 'A', 'A', 'G', 'E', 'F', 'G', 'A', 'G', 'F', 'E', 'C', 'C', 'A', 'A', 'C', 'A', 'A', 'G', 'E', 'C', 'G', 'F', 'D', 'C', 'C']","[0.1875, 0.0625, 0.25, 0.5, 0.1875, 0.0625, 0.25, 0.5, 0.125, 0.125, 0.625, 0.125, 0.1875, 0.0625, 0.75, 0.125, 0.125, 0.25, 0.5, 0.1875, 0.0625, 0.25, 0.5, 0.125, 0.125, 0.625, 0.125, 0.1875, 0.0625, 0.75, 0.125, 0.125, 0.625, 0.125, 0.1875, 0.0625, 0.25, 0.5, 0.125, 0.125, 0.625, 0.125, 0.1875, 0.0625, 0.75, 0.125, 0.125, 0.625, 0.125, 0.1875, 0.0625, 0.25, 0.5, 0.125, 0.125, 0.625, 0.125, 0.1875, 0.0625, 0.75]",Ckey,4/4,Treble
181,"['E', 'G', 'HD', 'HC', 'G', 'F', 'E', 'E', 'E', 'F', 'G', 'A', 'G', 'E', 'G', 'HD', 'HC', 'G', 'F', 'E', 'G', 'G', 'A', 'B', 'HC', 'HC', 'HD', 'G', 'G', 'B', 'A', 'G', 'E', 'G', 'HC', 'A', 'HC', 'HD', 'HC', 'B', 'G', 'E', 'G', 'HD', 'HC', 'G', 'F', 'E', 'G', 'G', 'A', 'B', 'HC', 'HC']","[0.5, 0.25, 0.75, 0.5, 0.25, 0.75, 0.5, 0.25, 0.25, 0.25, 0.25, 0.75, 0.75, 0.5, 0.25, 0.75, 0.5, 0.25, 0.75, 0.5, 0.25, 0.25, 0.25, 0.25, 0.75, 0.75, 0.375, 0.125, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.75, 0.5, 0.25, 0.5, 0.25, 0.75, 0.75, 0.5, 0.25, 0.75, 0.5, 0.25, 0.75, 0.5, 0.25, 0.25, 0.25, 0.25, 0.75, 0.75]",Ckey,3/4,Treble
182,"['D', 'A', 'A', 'A', 'G', 'A', 'F', 'F', 'G', 'D', 'D', 'G', 'G', 'G', 'F', 'G', 'G', 'G', 'A', 'A', 'D', 'A', 'A', 'A', 'G', 'A', 'F', 'F', 'A', 'G', 'D', 'G', 'G', 'G', 'F', 'G', 'C', 'C', 'D', 'D', 'G', 'HD', 'HD', 'HD', 'HC', 'HD', 'bB', 'bB', 'HC', 'G', 'G', 'HC', 'HC', 'HC', 'bB', 'HC', 'HC', 'HC', 'HD', 'HD', 'G', 'HD', 'HD', 'HD', 'HC', 'HD', 'bB', 'bB', 'HD', 'HC', 'G', 'HC', 'HC', 'HC', 'bB', 'HC', 'F', 'F', 'G', 'G']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.75]",Fkey,4/4,Treble
184,"['E', 'E', 'F', 'G', 'C', 'D', 'E', 'E', 'E', 'F', 'G', 'D', 'E', 'F', 'F', 'E', 'C', 'F', 'E', 'F', 'LA', 'C', 'D', 'C', 'D', 'E', 'E', 'F', 'G', 'A', 'B', 'HC', 'HC', 'E', 'F', 'G', 'D', 'E', 'F', 'E', 'F', 'HC', 'HC', 'D', 'E', 'F', 'E', 'F', 'HD', 'HD', 'HC', 'B', 'HC', 'HD', 'HE', 'HD', 'HC', 'B', 'HC', 'HC', 'B', 'G', 'G', 'C', 'A', 'A', 'G', 'C', 'C', 'E', 'D', 'E', 'F', 'G', 'HC', 'B', 'HC', 'HD', 'HE', 'HD', 'HC', 'B', 'HC', 'HC', 'B', 'G', 'G', 'C', 'A', 'A', 'G', 'G', 'HC', 'B', 'HC']","[0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.375, 0.125, 0.125, 0.125, 0.125, 0.125, 0.375, 0.125, 0.125, 0.125, 0.125, 0.125, 0.375, 0.125, 0.125, 0.125, 0.125, 0.125, 0.375, 0.125, 0.125, 0.125, 0.125, 0.125, 0.375, 0.125, 0.125, 0.125, 0.125, 0.125, 0.375, 0.125, 0.125, 0.125, 0.125, 0.125, 0.375, 0.125, 0.125, 0.125, 0.125, 0.125, 1.0]",Ckey,4/4,Treble
185,"['G', 'G', 'E', 'G', 'A', 'G', 'E', 'E', 'D', 'E', 'D', 'G', 'G', 'E', 'G', 'A', 'G', 'E', 'D', 'E', 'D', 'C']","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.75, 0.25, 0.75, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.25, 0.25, 1.0]",Ckey,4/4,Treble
186,"['G','C','D','E','F','G','C','A','G','F','G','A','B','HC','C','F','G','F','E','D','E','F','E','D','C','D','C','D','E','C','E','D','D','E','D','C','LB','C']","[0.5,0.125,0.125,0.125,0.125,0.75,0.25,0.5,0.5,0.125,0.125,0.125,0.125,0.5,0.5,0.5,0.125,0.125,0.125,0.125,0.5,0.125,0.125,0.125,0.125,0.5,0.125,0.125,0.125,0.125,0.125,0.25,0.75,0.5,0.125,0.125,0.125,0.125,0.75]",Ckey,4/4,Treble
187,"['G', 'A', 'G', 'E', 'G', 'A', 'G', 'E', 'HD', 'HD', 'B', 'HC', 'HC', 'G', 'A', 'A', 'HC', 'B', 'A', 'G', 'A', 'G', 'E', 'A', 'A', 'HC', 'B', 'A', 'G', 'A', 'G', 'E', 'HD', 'HD', 'HF', 'HD', 'B', 'HC', 'HE', 'HC', 'G', 'E', 'G', 'F', 'D', 'C']","[0.375, 0.125, 0.25, 0.75, 0.375, 0.125, 0.25, 0.75, 0.5, 0.25, 0.75, 0.5, 0.25, 0.75, 0.5, 0.25, 0.375, 0.25, 0.125, 0.375, 0.125, 0.25, 0.75, 0.5, 0.25, 0.375, 0.125, 0.25, 0.375, 0.125, 0.25, 0.75, 0.5, 0.25, 0.375, 0.125, 0.25, 0.75, 0.75, 0.25, 0.25, 0.25, 0.375, 0.125, 0.25, 0.75]",Ckey,3/4,Treble
188,"['G', 'E', 'F', 'G', 'HC', 'B', 'B', 'B', 'A', 'G', 'A', 'F', 'G', 'A', 'A', 'G', 'G', 'F', 'E', 'D', 'E', 'E', 'F', 'G', 'C', 'HC', 'HC', 'HC', 'B', 'A', 'G', 'G', 'G', 'A', 'HC', 'HD', 'HD', 'HD', 'HD', 'HC', 'HE', 'HD', 'HE', 'HC', 'A', 'G', 'A', 'A', 'HC', 'G', 'HD', 'HD', 'HE', 'HD', 'HE', 'HD', 'HC', 'A', 'G', 'G', 'A', 'HD', 'HD', 'HC']","[0.25, 0.1875, 0.0625, 0.25, 0.25, 0.1875, 0.0625, 0.1875, 0.0625, 0.5, 0.25, 0.1875, 0.0625, 0.25, 0.25, 0.1875, 0.0625, 0.1875, 0.0625, 0.5, 0.25, 0.1875, 0.0625, 0.25, 0.25, 0.1875, 0.0625, 0.1875, 0.0625, 0.5, 0.25, 0.1875, 0.0625, 0.25, 0.25, 0.1875, 0.0625, 0.1875, 0.0625, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5]",Ckey,4/4,Treble
201,"['#F', 'G', 'G', '#F', '#F', 'E', 'G', 'G', '#F', '#F', 'E', 'G', 'G', '#F', '#F', '#F', 'G', 'G', '#F', '#F', 'E', 'G', 'G', '#F', '#F', 'E', 'G', 'G', '#F', '#F', 'A', 'B', 'B', '#HC', '#HC', 'HD', 'HD', '#HC', '#HC', 'B', 'B', 'A', 'A', 'A', 'B', 'B', '#HC', '#HC', 'HD', 'HD', '#HC', '#HC', 'B', 'B', 'A', 'A']","[0.25, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.75, 0.25, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.75, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.75, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.25, 0.125, 0.75]",Dkey,6/8,Treble
